icao,cat1_m,sacat1_m,cat2_m,cat3_m
KEFD,549,,,
KEGE,4426,,,
KEKM,1219,,,
KEKX,1207,,,
KEKY,1207,,,
KELD,805,,,
KELM,732,,,
KELP,732,,,
KENW,805,,,
KEOK,1207,,,
KEQY,1207,,,
KERI,732,,,
KESC,805,,,
KESF,805,,,
KESN,1207,,,
KEUG,549,427,366,183
KEVV,732,,,
KEVW,805,,,
KEWB,732,,,
KEWK,805,,,
KEWN,1207,,,
KEWR,549,366,366,
KEXX,1408,,,
KEZM,805,,,
KFAR,732,,,
KFAT,549,427,366,183
KFAY,732,,,
KFCI,805,,,
KFCM,805,,,
KFDK,1609,,,
KFEP,805,,,
KFFC,1207,,,
KFFM,805,,,
KFHU,1207,,,
KFKL,805,,,
KFLG,805,,,
KFLL,732,,,
KFLO,805,,,
KFMH,732,,,
KFMN,1207,,,
KFMY,1609,,,
KFNL,805,,,
KFNT,732,,,
KFOD,805,,,
KFOE,732,,,
KFOK,805,,,
KFPR,1207,,,
KFRG,1207,,,
KFRM,805,,,
KFSD,549,,,
KFSM,732,,,
KFTW,732,,,
KFTY,805,,,
KFWA,549,,366,
KFWS,805,,,
KFXE,805,,,
KFZY,1609,,,
KGAD,1207,,,
KGAO,805,,,
KGBD,805,,,
KGBG,805,,,
KGCC,805,,,
KGCK,805,,,
KGCN,1207,,,
KGEG,549,427,366,91
KGFK,732,,,
KGGG,732,,,
KGJT,1219,,,
KGKY,1207,,,
KGLD,805,,,
KGLH,1524,,,
KGLR,805,,,
KGLS,1207,,,
KGMU,1207,,,
KGNV,732,,,
KGON,732,,,
KGPH,1207,,,
KGPT,732,,366,
KGPZ,805,,,
KGRB,732,,,
KGRI,732,,,
KGRK,732,,,
KGRR,732,427,366,
KGSH,1207,,,
KGSO,549,,366,183
KGSP,549,427,366,213
KGTF,549,427,366,183
KGTR,805,,,
KGUC,4828,,,
KGVL,805,,,
KGVQ,805,,,
KGVT,1609,,,
KGWB,805,,,
KGWO,1207,,,
KGWW,1207,,,
KGXY,1207,,,
KGYH,805,,,
KGYI,805,,,
KGYY,732,,,
KHAO,1207,,,
KHDC,805,,,
KHDN,1207,,,
KHEF,1207,,,
KHEZ,1609,,,
KHGR,805,,,
KHIB,805,,,
KHIO,732,,,
KHKS,805,,,
KHKY,805,,,
KHLG,1524,,,
KHLN,805,,,
KHOB,805,,,
KHON,805,,,
KHOT,805,,,
KHOU,549,427,366,183
KHPN,549,427,366,
KHQM,805,,,
KHQU,2012,,,
KHRL,732,427,366,
KHRO,805,,,
KHSA,805,,,
KHSP,1408,,,
KHSV,549,,366,
KHTS,732,,,
KHUF,732,,,
KHUM,805,,,
KHUT,732,,,
KHVN,1524,,,
KHWV,1207,,,
KHYA,732,,,
KHYI,1207,,,
KHYR,1207,,,
KHYS,805,,,
KHYX,1207,,,
KIAD,549,,366,183
KIAG,1219,,,
KIAH,549,427,366,183
KICT,549,,366,
KIDA,732,,,
KIDP,805,,,
KIKK,805,,,
KIKV,1207,,,
KILG,732,,,
KILM,732,427,366,
KILN,549,427,366,183
KIMT,805,,,
KIND,549,427,366,213
KINT,732,,,
KIPJ,1408,,,
KIPT,1207,,,
KIRK,805,,,
KISM,1207,,,
KISO,732,,,
KISP,549,,,
KITH,732,,,
KIWA,1207,,,
KIWD,805,,,
KIXD,805,,,
KJAC,1219,,,
KJAN,549,427,366,213
KJAX,549,427,366,183
KJBR,1207,,,
KJEF,805,,,
KJFK,549,,366,183
KJFX,1408,,,
KJHW,805,,,
KJKA,805,,,
KJLN,732,,,
KJMS,805,,,
KJNX,805,,,
KJQF,1207,,,
KJST,805,,,
KJVL,805,,,
KJVW,1207,,,
KJVY,805,,,
KJWN,1207,,,
KJXN,805,,,
KJYO,1207,,,
KJZI,1207,,,
KLAF,805,,,
KLAL,549,427,366,183
KLAN,732,,,
KLAS,1207,,,
KLAW,805,,,
KLAX,549,,366,183
KLBB,732,,,
KLBE,805,,,
KLBF,805,,,
KLBL,805,,,
KLBT,1207,,,
KLBX,805,,,
KLCH,732,,,
KLCI,805,,,
KLCK,549,427,366,
KLEB,1609,,,
KLEW,805,,,
KLFK,805,,,
KLFT,732,,,
KLGA,549,427,366,
KLGB,549,,,
KLGC,805,,,
KLGU,1207,,,
KLHM,805,,,
KLHZ,805,,,
KLIT,549,427,366,183
KLMT,732,,,
KLNK,732,,,
KLNS,805,,,
KLOZ,1609,,,
KLPR,805,,,
KLRD,805,,,
KLRU,805,,,
KLSE,805,,,
KLUK,1524,,,
KLVK,805,,,
KLVN,1207,,,
KLWB,1207,,,
KLWC,805,,,
KLWM,1207,,,
KLWS,805,,,
KLYH,732,,,
KLZU,1207,,,
KMAF,732,,,
KMBL,805,,,
KMBS,732,,,
KMCB,1207,,,
KMCC,805,,,
KMCE,805,,,
KMCI,549,427,366,183
KMCK,805,,,
KMCN,732,427,366,
KMCO,549,427,366,183
KMCW,805,,,
KMDH,805,,,
KMDQ,1207,,,
KMDT,549,427,366,183
KMDW,914,,,
KMEB,805,,,
KMEI,732,,,
KMEM,549,,366,213
KMER,805,,,
KMEZ,2012,,,
KMFD,1219,,,
KMFE,805,,,
KMFR,549,,,
KMGJ,1609,,,
KMGM,732,,,
KMGW,805,,,
KMHE,805,,,
KMHK,805,,,
KMHT,549,427,366,213
KMIA,732,,,
KMIE,805,,,
KMIV,1609,,,
KMJX,1207,,,
KMKC,1219,,,
KMKE,549,,366,183
KMKG,732,,,
KMKL,1207,,,
KMKT,805,,,
KMLB,549,,,
KMLI,732,,,
KMLU,732,,,
KMML,805,,,
KMMU,805,,,
KMMV,805,,,
KMNM,1609,,,
KMOB,732,427,366,
KMOD,805,,,
KMOT,732,,,
KMPV,1207,,,
KMQJ,805,,,
KMQY,805,,,
KMRB,805,,,
KMRY,732,,,
KMSL,805,,,
KMSN,549,427,366,183
KMSO,732,,,
KMSP,549,427,366,183
KMSS,1207,,,
KMSV,1207,,,
KMSY,732,427,366,183
KMTJ,805,,,
KMTN,1609,,,
KMTO,805,,,
KMTW,805,,,
KMUT,805,,,
KMVN,805,,,
KMVY,732,,,
KMWA,805,,,
KMWH,732,,,
KMWL,1207,,,
KMYF,1207,,,
KMYR,732,427,366,
KMYV,805,,,
KMZZ,805,,,
KNEW,1207,,,
KNQA,805,,,
KNUQ,805,,,
KOAJ,805,,,
KOAK,549,427,366,183
KOCF,1207,,,
KOCH,805,,,
KOFK,805,,,
KOGD,1207,,,
KOKC,549,427,366,
KOKK,805,,,
KOKM,805,,,
KOKV,805,,,
KOLM,805,,,
KOLV,805,,,
KOMA,549,427,366,183
KONA,1207,,,
KONP,1207,,,
KONT,549,,366,91
KOPF,1207,,,
KOPN,805,,,
KOQU,805,,,
KORD,549,427,366,183
KORF,732,,,
KORH,549,,366,
KORL,1207,,,
KOSC,805,,,
KOSH,732,,,
KOSU,805,,,
KOTG,805,,,
KOTH,805,,,
KOTM,805,,,
KOUN,805,,,
KOWA,805,,,
KOWB,805,,,
KOXC,1207,,,
KOXR,1609,,,
KOZW,805,,,
KPAH,805,,,
KPBF,1207,,,
KPBG,805,,,
KPBI,732,,,
KPBX,1609,,,
KPDT,732,,,
KPDX,549,427,366,91
KPGD,1207,,,
KPGV,1207,,,
KPHF,732,,,
KPHL,549,427,366,183
KPHN,805,,,
KPHX,732,,,
KPIA,732,427,366,
KPIB,805,,,
KPIE,549,427,366,
KPIH,732,,,
KPIT,549,427,366,183
KPKB,1219,,,
KPKD,805,,,
KPLN,805,,,
KPMD,1207,,,
KPNC,805,,,
KPNE,805,,,
KPNS,549,,,
KPOC,1609,,,
KPOU,1609,,,
KPQI,805,,,
KPQL,805,,,
KPRC,805,,,
KPSC,732,,,
KPSK,1609,,,
KPSM,732,,,
KPTK,732,,,
KPTN,805,,,
KPUB,805,,,
KPUC,1207,,,
KPUJ,1207,,,
KPUW,732,,,
KPVC,1207,,,
KPVD,549,427,366,213
KPVG,1207,,,
KPVU,1207,,,
KPWA,805,,,
KPWK,1408,,,
KPWM,549,427,366,183
KPWT,805,,,
KPXE,1207,,,
KPYM,1207,,,
KRAC,1207,,,
KRAL,1207,,,
KRAP,732,,,
KRBD,1207,,,
KRBW,1207,,,
KRDD,805,,,
KRDG,1207,,,
KRDM,805,,,
KRDU,549,427,366,183
KRFD,549,427,366,183
KRGK,805,,,
KRHI,805,,,
KRIC,549,427,366,213
KRIL,6437,,,
KRIW,805,,,
KRKD,805,,,
KRKS,805,,,
KRME,1408,,,
KRMG,1207,,,
KRMN,1207,,,
KRNO,732,,,
KROA,2816,,,
KROC,549,,,
KROG,805,,,
KROW,805,,,
KRPD,805,,,
KRRT,805,,,
KRST,549,427,366,
KRSW,549,,,
KRTS,4828,,,
KRUQ,805,,,
KRUT,2414,,,
KRVS,1207,,,
KRWI,805,,,
KRYN,1609,,,
KRYY,1207,,,
KSAC,1609,,,
KSAF,1207,,,
KSAN,549,,,
KSAT,549,,366,
KSAV,549,427,366,
KSAW,805,,,
KSBA,732,,,
KSBD,1207,,,
KSBM,805,,,
KSBN,732,427,366,
KSBO,1609,,,
KSBP,805,,,
KSBY,805,,,
KSCH,805,,,
KSCK,732,,366,
KSDF,549,427,366,183
KSEA,549,427,366,91
KSEM,1207,,,
KSFB,805,,,
KSFF,805,,,
KSFM,1207,,,
KSFO,549,427,366,183
KSGF,732,,,
KSGJ,805,,,
KSGR,1207,,,
KSGT,1207,,,
KSHD,805,,,
KSHR,805,,,
KSHV,549,,366,
KSJC,732,427,366,
KSJT,732,,,
KSLC,549,427,366,91
KSLE,732,,,
KSLK,805,,,
KSLN,805,,,
KSME,2615,,,
KSMF,549,427,366,183
KSMS,1207,,,
KSMX,732,,,
KSNA,732,427,,
KSNL,805,,,
KSNS,732,,,
KSOP,805,,,
KSPA,1207,,,
KSPI,732,,,
KSPW,805,,,
KSQI,805,,,
KSRB,1207,,,
KSRC,805,,,
KSRQ,805,,,
KSRR,1207,,,
KSTC,805,,,
KSTE,1207,,,
KSTJ,1219,,,
KSTL,549,,366,183
KSTP,1219,,,
KSTS,732,,,
KSUS,732,,,
KSUX,732,,,
KSUZ,1207,,,
KSVH,805,,,
KSWF,549,427,366,213
KSWO,805,,,
KSYR,549,427,366,
KTBN,1609,,,
KTBR,805,,,
KTCL,805,,,
KTDF,805,,,
KTEB,549,,,
KTIW,805,,,
KTIX,805,,,
KTKI,805,,,
KTLH,549,,,
KTMA,1207,,,
KTMB,805,,,
KTNU,805,,,
KTOA,805,,,
KTOI,1408,,,
KTOL,549,,,
KTOP,805,,,
KTPA,549,427,366,183
KTPL,805,,,
KTRI,549,488,366,
KTTA,805,,,
KTTN,805,,,
KTUL,549,427,366,
KTUP,805,,,
KTUS,732,,,
KTVC,805,,,
KTVF,805,,,
KTVR,805,,,
KTVY,805,,,
KTWF,805,,,
KTXK,805,,,
KTYQ,1408,,,
KTYR,805,,,
KTYS,549,427,366,
KTZR,805,,,
KUCY,1207,,,
KUES,805,,,
KUGN,805,,,
KUIN,805,,,
KUKF,805,,,
KUNI,1609,,,
KUNV,732,,,
KUTA,805,,,
KUZA,805,,,
KVCT,805,,,
KVDF,1609,,,
KVDI,805,,,
KVGT,1408,,,
KVIS,805,,,
KVLD,1207,,,
KVNY,1219,,,
KVPZ,805,,,
KVQQ,805,,,
KVUJ,1609,,,
KWDG,805,,,
KWDR,1207,,,
KWVL,1207,,,
KWYS,805,,,
KXNA,732,,,
KXWA,805,,,
KYIP,549,,,
KYKM,732,,,
KYKN,805,,,
KYNG,732,,,
KZZV,1207,,,
NSTU,3018,,,
PABE,732,,,
PABR,732,,,
PACD,732,,,
PACV,732,,,
PADK,1524,,,
PADQ,2414,,,
PAEN,732,,,
PAFA,549,427,366,183
PAKT,732,,,
PAKU,549,,,
PANC,549,427,366,183
PANI,1207,,,
PAOM,1219,,,
PAOT,1524,,,
PAPB,1609,,,
PASC,732,,,
PASN,1207,,,
PAYA,732,,,
PGSN,805,,,
PGUM,805,,,
PHKO,805,,,
PHLI,805,,,
PHNL,805,,,
PHNY,1609,,,
PHOG,805,,,
PHTO,1207,,,
TIST,1811,,,
TISX,805,,,
TJSJ,805,,,
